an4/an4/train/an4/wav/an1-mblw-b.wav,X I SIXTY ONE
an4/an4/train/an4/wav/an10-fjmd-b.wav,G TWO EIGHTY NINE
an4/an4/train/an4/wav/an100-mskh-b.wav,YES
an4/an4/train/an4/wav/an101-mrcb-b.wav,R E W Y EIGHT FIVE SIX
an4/an4/train/an4/wav/an102-mrcb-b.wav,NO
an4/an4/train/an4/wav/an103-mrcb-b.wav,ERASE G H X W FIVE ZERO FOUR EIGHT TWO
an4/an4/train/an4/wav/an104-mrcb-b.wav,START
an4/an4/train/an4/wav/an105-mrcb-b.wav,ENTER EIGHT FOUR
an4/an4/train/an4/wav/an106-mdxn-b.wav,ENTER ZERO
an4/an4/train/an4/wav/an107-mdxn-b.wav,T V A H FIFTY TWO FIFTY THREE
an4/an4/train/an4/wav/an108-mdxn-b.wav,ENTER FORTY ONE
an4/an4/train/an4/wav/an109-mdxn-b.wav,B V I Q G EIGHTY SIX
an4/an4/train/an4/wav/an110-mdxn-b.wav,ENTER SIXTY TWO THIRTY ONE
an4/an4/train/an4/wav/an111-mdcs2-b.wav,P U X P I FIVE
an4/an4/train/an4/wav/an112-mdcs2-b.wav,F Y Z O TWO TWO TWO
an4/an4/train/an4/wav/an113-mdcs2-b.wav,RUBOUT H A X X N SIX SEVEN NINE ONE
an4/an4/train/an4/wav/an114-mdcs2-b.wav,L R L Y U SEVEN THREE
an4/an4/train/an4/wav/an115-mdcs2-b.wav,RUBOUT O K T L E TWO EIGHT ONE
an4/an4/train/an4/wav/an116-fmjc-b.wav,O A M J ONE FIVE THREE
an4/an4/train/an4/wav/an117-fmjc-b.wav,RUBOUT M N Z L THREE SEVEN SEVEN
an4/an4/train/an4/wav/an118-fmjc-b.wav,RUBOUT J L Y Z TWO
an4/an4/train/an4/wav/an119-fmjc-b.wav,ENTER THIRTY FIVE
an4/an4/train/an4/wav/an120-fmjc-b.wav,RUBOUT Y Y F X ZERO
an4/an4/train/an4/wav/an121-fjdn-b.wav,HELP
an4/an4/train/an4/wav/an122-fjdn-b.wav,ENTER EIGHT TWO FOUR TWO
an4/an4/train/an4/wav/an123-fjdn-b.wav,ENTER FIFTY FOUR
an4/an4/train/an4/wav/an124-fjdn-b.wav,RUBOUT O Q I M I THIRTY TWO
an4/an4/train/an4/wav/an125-fjdn-b.wav,ENTER FIFTEEN
an4/an4/train/an4/wav/an126-mcen-b.wav,START
an4/an4/train/an4/wav/an127-mcen-b.wav,REPEAT
an4/an4/train/an4/wav/an128-mcen-b.wav,RUBOUT I T D K M FOUR SEVENTY ONE
an4/an4/train/an4/wav/an129-mcen-b.wav,ENTER SIXTY
an4/an4/train/an4/wav/an130-mcen-b.wav,HELP
an4/an4/train/an4/wav/an131-fkdo-b.wav,RUBOUT W L F X Y SEVEN OH SIX NINE
an4/an4/train/an4/wav/an132-fkdo-b.wav,GO
an4/an4/train/an4/wav/an133-fkdo-b.wav,REPEAT
an4/an4/train/an4/wav/an134-fkdo-b.wav,STOP
an4/an4/train/an4/wav/an135-fkdo-b.wav,RUBOUT U T F F EIGHT
an4/an4/train/an4/wav/an136-meab-b.wav,ERASE W E S F TWENTY FOUR OH THREE
an4/an4/train/an4/wav/an137-meab-b.wav,RUBOUT G U K E V NINE
an4/an4/train/an4/wav/an138-meab-b.wav,J Z A P SEVENTEEN
an4/an4/train/an4/wav/an139-meab-b.wav,ENTER EIGHT THIRTY TWO
an4/an4/train/an4/wav/an140-meab-b.wav,RUBOUT R E F V S ONE FIVE THREE THREE
an4/an4/train/an4/wav/an141-mcrt-b.wav,NO
an4/an4/train/an4/wav/an142-mcrt-b.wav,ENTER NINETY FOUR
an4/an4/train/an4/wav/an143-mcrt-b.wav,HELP
an4/an4/train/an4/wav/an144-mcrt-b.wav,RUBOUT F B M J SEVEN TEN
an4/an4/train/an4/wav/an145-mcrt-b.wav,ENTER SIX
an4/an4/train/an4/wav/an147-fclc-b.wav,Q E E A SIX
an4/an4/train/an4/wav/an148-fclc-b.wav,ERASE O J T K S THIRTY FIVE
an4/an4/train/an4/wav/an149-fclc-b.wav,ENTER NINE EIGHTY NINE
an4/an4/train/an4/wav/an150-fclc-b.wav,ERASE C K C W FOURTEEN EIGHTY FIVE
an4/an4/train/an4/wav/an151-mwhw-b.wav,H A H L E FOUR NINETY ONE
an4/an4/train/an4/wav/an152-mwhw-b.wav,START
an4/an4/train/an4/wav/an153-mwhw-b.wav,Y D N E D FORTY SEVEN
an4/an4/train/an4/wav/an154-mwhw-b.wav,RUBOUT P O O B EIGHT
an4/an4/train/an4/wav/an155-mwhw-b.wav,ENTER SIXTY
an4/an4/train/an4/wav/an156-mjes-b.wav,ERASE Q K X Y U ONE SIXTY TWO
an4/an4/train/an4/wav/an157-mjes-b.wav,ENTER THIRTY SEVEN
an4/an4/train/an4/wav/an158-mjes-b.wav,RUBOUT V E W Z SEVEN SEVENTY TWO
an4/an4/train/an4/wav/an159-mjes-b.wav,STOP
an4/an4/train/an4/wav/an16-mjdr-b.wav,E M B Z SIX EIGHT SIX
an4/an4/train/an4/wav/an160-mjes-b.wav,J C H E Q FIFTY EIGHT THOUSAND NINE THIRTY NINE
an4/an4/train/an4/wav/an161-mfaa-b.wav,H P D F T SIXTY THREE
an4/an4/train/an4/wav/an165-mfaa-b.wav,Y F J K TWO EIGHT
an4/an4/train/an4/wav/an166-fsrb-b.wav,A A I L ZERO
an4/an4/train/an4/wav/an167-fsrb-b.wav,ENTER FORTY SEVEN FORTY SEVEN
an4/an4/train/an4/wav/an168-fsrb-b.wav,RUBOUT L D R W TWENTY SIX
an4/an4/train/an4/wav/an169-fsrb-b.wav,ENTER SIXTY ONE
an4/an4/train/an4/wav/an170-fsrb-b.wav,ENTER FOUR FIFTY SIX
an4/an4/train/an4/wav/an171-mjda-b.wav,RUBOUT U G A M THIRTY NINE
an4/an4/train/an4/wav/an172-mjda-b.wav,ENTER EIGHT SEVENTY ONE
an4/an4/train/an4/wav/an173-mjda-b.wav,RUBOUT C T L E SEVENTY SIX TWELVE
an4/an4/train/an4/wav/an175-mjda-b.wav,HELP
an4/an4/train/an4/wav/an177-mjjs2-b.wav,START
an4/an4/train/an4/wav/an178-mjjs2-b.wav,NO
an4/an4/train/an4/wav/an179-mjjs2-b.wav,ERASE Q E J Q T SEVENTY SEVEN
an4/an4/train/an4/wav/an180-mjjs2-b.wav,YES
an4/an4/train/an4/wav/an181-fnsv-b.wav,A V M U FOUR FORTY TWO
an4/an4/train/an4/wav/an182-fnsv-b.wav,REPEAT
an4/an4/train/an4/wav/an183-fnsv-b.wav,O L K F FIVE FORTY FIVE
an4/an4/train/an4/wav/an184-fnsv-b.wav,NO
an4/an4/train/an4/wav/an185-fnsv-b.wav,HELP
an4/an4/train/an4/wav/an186-mkem-b.wav,ERASE V R F O FIVE
an4/an4/train/an4/wav/an187-mkem-b.wav,ENTER ONE THIRTY ONE
an4/an4/train/an4/wav/an188-mkem-b.wav,U S I Q N SEVENTY ONE
an4/an4/train/an4/wav/an189-mkem-b.wav,STOP
an4/an4/train/an4/wav/an19-mjdr-b.wav,RUBOUT O H G P D TWO NINE SEVEN SIX
an4/an4/train/an4/wav/an190-mkem-b.wav,RUBOUT U J M K NINE
an4/an4/train/an4/wav/an191-fmjd-b.wav,NO
an4/an4/train/an4/wav/an192-fmjd-b.wav,ERASE E O A C U THREE
an4/an4/train/an4/wav/an193-fmjd-b.wav,ERASE Y B E J Q FIVE OH SEVEN
an4/an4/train/an4/wav/an194-fmjd-b.wav,P T Q D Q ONE
an4/an4/train/an4/wav/an195-fmjd-b.wav,I D M H SEVEN EIGHT FIVE
an4/an4/train/an4/wav/an196-mgah-b.wav,ENTER SEVENTY ONE
an4/an4/train/an4/wav/an197-mgah-b.wav,ENTER FOUR TWENTY ONE
an4/an4/train/an4/wav/an198-mgah-b.wav,ENTER ONE NINETY SIX
an4/an4/train/an4/wav/an199-mgah-b.wav,NO
an4/an4/train/an4/wav/an20-mjdr-b.wav,A T T G K EIGHTY FOUR
an4/an4/train/an4/wav/an200-mgah-b.wav,START
an4/an4/train/an4/wav/an201-mcel-b.wav,STOP
an4/an4/train/an4/wav/an203-mcel-b.wav,ENTER EIGHT ONE NINE SIX
an4/an4/train/an4/wav/an204-mcel-b.wav,START
an4/an4/train/an4/wav/an205-mcel-b.wav,RUBOUT F Y N P NINETY SEVEN
an4/an4/train/an4/wav/an206-mdmc-b.wav,RUBOUT Z O T F TWO
an4/an4/train/an4/wav/an207-mdmc-b.wav,RUBOUT H F D W Q SIX TWO TWO
an4/an4/train/an4/wav/an208-mdmc-b.wav,RUBOUT N B A K NINETY SIX
an4/an4/train/an4/wav/an209-mdmc-b.wav,R G C S SEVEN SIXTY SEVEN
an4/an4/train/an4/wav/an21-flrp-b.wav,S Z K W W TWO THIRTY SEVEN
an4/an4/train/an4/wav/an210-mdmc-b.wav,RUBOUT Z G D R G NINE NINE FOUR SIX
an4/an4/train/an4/wav/an211-ftmj-b.wav,ENTER SIXTY SIX
an4/an4/train/an4/wav/an212-ftmj-b.wav,L Z R V FIFTY FIVE THIRTY FIVE
an4/an4/train/an4/wav/an2121-flrp-b.wav,Z C B E G SEVENTY NINE
an4/an4/train/an4/wav/an213-ftmj-b.wav,RUBOUT P N A M X SEVENTY TWO
an4/an4/train/an4/wav/an214-ftmj-b.wav,ENTER SEVEN
an4/an4/train/an4/wav/an215-ftmj-b.wav,YES
an4/an4/train/an4/wav/an216-mjgk-b.wav,V E R K E THIRTY FIVE THIRTY
an4/an4/train/an4/wav/an218-mjgk-b.wav,STOP
an4/an4/train/an4/wav/an219-mjgk-b.wav,GO
an4/an4/train/an4/wav/an22-flrp-b.wav,YES
an4/an4/train/an4/wav/an220-mjgk-b.wav,ENTER THREE EIGHTY SIX
an4/an4/train/an4/wav/an221-fwxs-b.wav,G L L K H ONE
an4/an4/train/an4/wav/an222-fwxs-b.wav,HELP
an4/an4/train/an4/wav/an223-fwxs-b.wav,HELP
an4/an4/train/an4/wav/an224-fwxs-b.wav,J V P E EIGHT SEVEN ZERO
an4/an4/train/an4/wav/an225-fwxs-b.wav,YES
an4/an4/train/an4/wav/an226-msjm-b.wav,REPEAT
an4/an4/train/an4/wav/an227-msjm-b.wav,F I Y Q FIFTY SIX
an4/an4/train/an4/wav/an228-msjm-b.wav,ERASE G W D K F SIX EIGHTY EIGHT
an4/an4/train/an4/wav/an229-msjm-b.wav,REPEAT
an4/an4/train/an4/wav/an230-msjm-b.wav,STOP
an4/an4/train/an4/wav/an232-mcsc-b.wav,HELP
an4/an4/train/an4/wav/an234-mcsc-b.wav,REPEAT
an4/an4/train/an4/wav/an235-mcsc-b.wav,NO
an4/an4/train/an4/wav/an237-mrjc2-b.wav,ENTER SEVEN
an4/an4/train/an4/wav/an238-mrjc2-b.wav,STOP
an4/an4/train/an4/wav/an239-mrjc2-b.wav,D Y M H R SIXTY ONE
an4/an4/train/an4/wav/an24-flrp-b.wav,REPEAT
an4/an4/train/an4/wav/an240-mrjc2-b.wav,ENTER NINE SEVENTY TWO
an4/an4/train/an4/wav/an241-mdcs-b.wav,ENTER FIFTY SIXTY THREE
an4/an4/train/an4/wav/an243-mdcs-b.wav,REPEAT
an4/an4/train/an4/wav/an244-mdcs-b.wav,L R R K I FOUR
an4/an4/train/an4/wav/an245-mdcs-b.wav,RUBOUT U F Z Z SIXTY NINE
an4/an4/train/an4/wav/an246-mjbh-b.wav,HELP
an4/an4/train/an4/wav/an248-mjbh-b.wav,X Z I V Y ONE
an4/an4/train/an4/wav/an249-mjbh-b.wav,STOP
an4/an4/train/an4/wav/an25-flrp-b.wav,RUBOUT O G D E FOUR SEVEN FIVE SEVEN
an4/an4/train/an4/wav/an250-mjbh-b.wav,YES
an4/an4/train/an4/wav/an251-fash-b.wav,YES
an4/an4/train/an4/wav/an253-fash-b.wav,GO
an4/an4/train/an4/wav/an254-fash-b.wav,YES
an4/an4/train/an4/wav/an256-mewl-b.wav,NO
an4/an4/train/an4/wav/an257-mewl-b.wav,RUBOUT H W O N J FOUR THOUSAND SEVEN HUNDRED TWENTY THREE
an4/an4/train/an4/wav/an258-mewl-b.wav,ENTER FOURTEEN
an4/an4/train/an4/wav/an259-mewl-b.wav,REPEAT
an4/an4/train/an4/wav/an26-mdxs-b.wav,YES
an4/an4/train/an4/wav/an260-mewl-b.wav,B A I Q W EIGHT
an4/an4/train/an4/wav/an262-mcfl-b.wav,I P A C F TWO FIVE EIGHT
an4/an4/train/an4/wav/an263-mcfl-b.wav,RUBOUT I R D D J ONE
an4/an4/train/an4/wav/an265-mcfl-b.wav,YES
an4/an4/train/an4/wav/an266-mbmg-b.wav,ENTER FIFTY FOUR
an4/an4/train/an4/wav/an267-mbmg-b.wav,S U O U EIGHTY SIX
an4/an4/train/an4/wav/an268-mbmg-b.wav,ERASE S V N Y TEN TEN
an4/an4/train/an4/wav/an269-mbmg-b.wav,RUBOUT C H Y D D OH
an4/an4/train/an4/wav/an27-mdxs-b.wav,X H B A C FIVE THREE FOUR FOUR
an4/an4/train/an4/wav/an276-msmn-b.wav,G W N L L NINE FOUR
an4/an4/train/an4/wav/an277-msmn-b.wav,NO
an4/an4/train/an4/wav/an278-msmn-b.wav,RUBOUT Q N R A J SEVEN FOUR EIGHT
an4/an4/train/an4/wav/an279-msmn-b.wav,Q C J K EIGHT FIVE EIGHT
an4/an4/train/an4/wav/an28-mdxs-b.wav,START
an4/an4/train/an4/wav/an281-mrmg-b.wav,ENTER TWO
an4/an4/train/an4/wav/an282-mrmg-b.wav,GO
an4/an4/train/an4/wav/an283-mrmg-b.wav,RUBOUT M D M T G NINE SIX SEVEN OH
an4/an4/train/an4/wav/an284-mrmg-b.wav,ENTER SIX
an4/an4/train/an4/wav/an285-mrmg-b.wav,RUBOUT N A F K V THIRTY
an4/an4/train/an4/wav/an286-mema-b.wav,REPEAT
an4/an4/train/an4/wav/an287-mema-b.wav,R H H U F TWO
an4/an4/train/an4/wav/an288-mema-b.wav,STOP
an4/an4/train/an4/wav/an289-mema-b.wav,ENTER NINE EIGHT NINE
an4/an4/train/an4/wav/an29-mdxs-b.wav,REPEAT
an4/an4/train/an4/wav/an290-mema-b.wav,N G N N THREE NINE NINE
an4/an4/train/an4/wav/an291-ffmm-b.wav,ENTER FIVE
an4/an4/train/an4/wav/an292-ffmm-b.wav,ENTER SEVENTY EIGHT
an4/an4/train/an4/wav/an293-ffmm-b.wav,K L M U FIVE TWO SEVEN FOUR
an4/an4/train/an4/wav/an294-ffmm-b.wav,H B G L SEVENTY SEVEN
an4/an4/train/an4/wav/an295-ffmm-b.wav,V A D R THIRTY ONE OH SEVEN
an4/an4/train/an4/wav/an296-fsaf2-b.wav,V Q D B FORTY NINE HUNDRED
an4/an4/train/an4/wav/an298-fsaf2-b.wav,REPEAT
an4/an4/train/an4/wav/an3-mblw-b.wav,ENTER SIXTY
an4/an4/train/an4/wav/an30-mdxs-b.wav,NO
an4/an4/train/an4/wav/an301-mtcv-b.wav,RUBOUT U T D A TWO
an4/an4/train/an4/wav/an302-mtcv-b.wav,RUBOUT M V O O FORTY SIX
an4/an4/train/an4/wav/an304-mtcv-b.wav,STOP
an4/an4/train/an4/wav/an305-mtcv-b.wav,ENTER EIGHT ZERO SIX
an4/an4/train/an4/wav/an311-fkai-b.wav,ERASE I S L F THIRTY EIGHT
an4/an4/train/an4/wav/an312-fkai-b.wav,ERASE Z Y G N P EIGHT HUNDRED AND TWENTY THREE
an4/an4/train/an4/wav/an314-fkai-b.wav,A M S J SEVEN THOUSAND ONE HUNDRED AND EIGHTY SIX
an4/an4/train/an4/wav/an315-fkai-b.wav,ENTER FIFTY ONE
an4/an4/train/an4/wav/an316-mkdb-b.wav,D S K U FOUR FIVE OH FIVE
an4/an4/train/an4/wav/an317-mkdb-b.wav,ENTER SEVEN
an4/an4/train/an4/wav/an318-mkdb-b.wav,ENTER FOUR
an4/an4/train/an4/wav/an319-mkdb-b.wav,RUBOUT R Z R V Z NINETY EIGHT
an4/an4/train/an4/wav/an32-mtje-b.wav,YES
an4/an4/train/an4/wav/an320-mkdb-b.wav,E Z A K O EIGHT
an4/an4/train/an4/wav/an321-mmal-b.wav,M M V Q D ONE EIGHT SEVEN
an4/an4/train/an4/wav/an322-mmal-b.wav,RUBOUT T B P B SIX
an4/an4/train/an4/wav/an323-mmal-b.wav,ENTER TWO OH FIVE
an4/an4/train/an4/wav/an324-mmal-b.wav,YES
an4/an4/train/an4/wav/an325-mmal-b.wav,GO
an4/an4/train/an4/wav/an326-ftal-b.wav,STOP
an4/an4/train/an4/wav/an327-ftal-b.wav,ENTER SEVEN SEVEN
an4/an4/train/an4/wav/an329-ftal-b.wav,B Y V M EIGHT FOUR
an4/an4/train/an4/wav/an33-mtje-b.wav,ERASE F H B K Z SIXTY NINE
an4/an4/train/an4/wav/an330-ftal-b.wav,ENTER TWO SIX
an4/an4/train/an4/wav/an331-msrb-b.wav,ENTER NINE
an4/an4/train/an4/wav/an332-msrb-b.wav,RUBOUT G J H G V SEVEN
an4/an4/train/an4/wav/an333-msrb-b.wav,YES
an4/an4/train/an4/wav/an334-msrb-b.wav,N N P U FIVE
an4/an4/train/an4/wav/an335-msrb-b.wav,ENTER SEVEN
an4/an4/train/an4/wav/an336-mmdg-b.wav,G A B H TWO
an4/an4/train/an4/wav/an337-mmdg-b.wav,HELP
an4/an4/train/an4/wav/an338-mmdg-b.wav,ENTER SIX ONE TWO FIVE
an4/an4/train/an4/wav/an339-mmdg-b.wav,ENTER TWO FIVE FOUR SIX
an4/an4/train/an4/wav/an34-mtje-b.wav,YES
an4/an4/train/an4/wav/an340-mmdg-b.wav,YES
an4/an4/train/an4/wav/an341-msct-b.wav,YES
an4/an4/train/an4/wav/an343-msct-b.wav,ENTER TWENTY NINE
an4/an4/train/an4/wav/an344-msct-b.wav,ERASE A L H N C THIRTY FIVE
an4/an4/train/an4/wav/an345-msct-b.wav,ERASE V Y W L R SEVEN ZERO ONE ONE
an4/an4/train/an4/wav/an346-mnfe-b.wav,ERASE O T E B SEVENTY NINE
an4/an4/train/an4/wav/an347-mnfe-b.wav,HELP
an4/an4/train/an4/wav/an348-mnfe-b.wav,ENTER EIGHT TWENTY SEVEN
an4/an4/train/an4/wav/an349-mnfe-b.wav,RUBOUT R R N A A NINETY FOUR
an4/an4/train/an4/wav/an35-mtje-b.wav,H Z A E THREE SEVEN FIVE ONE
an4/an4/train/an4/wav/an350-mnfe-b.wav,ENTER THREE
an4/an4/train/an4/wav/an351-msjr-b.wav,J H B X THREE ZERO
an4/an4/train/an4/wav/an352-msjr-b.wav,ENTER TWO
an4/an4/train/an4/wav/an353-msjr-b.wav,NO
an4/an4/train/an4/wav/an354-msjr-b.wav,RUBOUT W P F J D TWO SIX
an4/an4/train/an4/wav/an355-msjr-b.wav,ENTER SIX SEVEN
an4/an4/train/an4/wav/an356-mscg2-b.wav,ENTER FIFTY FIVE
an4/an4/train/an4/wav/an357-mscg2-b.wav,YES
an4/an4/train/an4/wav/an358-mscg2-b.wav,RUBOUT V A N B X NINE
an4/an4/train/an4/wav/an359-mscg2-b.wav,P O U N B FIVE
an4/an4/train/an4/wav/an36-fejs-b.wav,RUBOUT C Y R B SEVEN EIGHT
an4/an4/train/an4/wav/an360-mscg2-b.wav,REPEAT
an4/an4/train/an4/wav/an361-mmkw-b.wav,O A W F FIVE NINE
an4/an4/train/an4/wav/an362-mmkw-b.wav,V K Z O SIXTY TWO
an4/an4/train/an4/wav/an363-mmkw-b.wav,RUBOUT D Q T W X FIVE HUNDRED EIGHTY SEVEN
an4/an4/train/an4/wav/an365-mmkw-b.wav,B J X K TWENTY THREE
an4/an4/train/an4/wav/an366-mtos-b.wav,M F G I K TWO SIXTY
an4/an4/train/an4/wav/an367-mtos-b.wav,S F Q Q K SIX THOUSAND EIGHT HUNDRED AND EIGHTY ONE
an4/an4/train/an4/wav/an368-mtos-b.wav,H Q F X FOUR THOUSAND THREE HUNDRED AND EIGHTY SIX
an4/an4/train/an4/wav/an369-mtos-b.wav,YES
an4/an4/train/an4/wav/an37-fejs-b.wav,ERASE J G Q Y EIGHT SIX ONE
an4/an4/train/an4/wav/an370-mtos-b.wav,RUBOUT N A G K K THREE THIRTY SIX
an4/an4/train/an4/wav/an371-mblb-b.wav,ERASE I G N M FORTY THREE SEVENTEEN
an4/an4/train/an4/wav/an372-mblb-b.wav,RUBOUT E U J O NINETY FIVE
an4/an4/train/an4/wav/an373-mblb-b.wav,K W Z A G TWO HUNDRED AND SIXTY SIX
an4/an4/train/an4/wav/an375-mblb-b.wav,ENTER FORTY THREE FORTY FIVE
an4/an4/train/an4/wav/an376-mtxj-b.wav,ENTER FIVE TWO FOUR
an4/an4/train/an4/wav/an377-mtxj-b.wav,RUBOUT J B X R Z NINE TWENTY
an4/an4/train/an4/wav/an378-mtxj-b.wav,ENTER SIXTY FOUR
an4/an4/train/an4/wav/an38-fejs-b.wav,GO
an4/an4/train/an4/wav/an380-mtxj-b.wav,ENTER SIX OH EIGHT OH
an4/an4/train/an4/wav/an382-mmsh-b.wav,RUBOUT E Z U A I FIFTEEN
an4/an4/train/an4/wav/an383-mmsh-b.wav,ENTER SIXTY ONE
an4/an4/train/an4/wav/an384-mmsh-b.wav,RUBOUT N Z X L THIRTY ONE
an4/an4/train/an4/wav/an385-mmsh-b.wav,GO
an4/an4/train/an4/wav/an386-mmtm-b.wav,ENTER SIX FOUR FIVE ONE
an4/an4/train/an4/wav/an387-mmtm-b.wav,Y W A A M TWO
an4/an4/train/an4/wav/an388-mmtm-b.wav,START
an4/an4/train/an4/wav/an389-mmtm-b.wav,RUBOUT X C Z T P FOUR
an4/an4/train/an4/wav/an39-fejs-b.wav,G C D O FOUR
an4/an4/train/an4/wav/an390-mmtm-b.wav,REPEAT
an4/an4/train/an4/wav/an4-mblw-b.wav,ENTER SEVENTY TWO
an4/an4/train/an4/wav/an40-fejs-b.wav,Z I R K SIX FOUR FOUR
an4/an4/train/an4/wav/an46-mmap-b.wav,STOP
an4/an4/train/an4/wav/an47-mmap-b.wav,ENTER SEVEN TWO ONE SIX
an4/an4/train/an4/wav/an48-mmap-b.wav,ENTER ONE NINE
an4/an4/train/an4/wav/an49-mmap-b.wav,N H O T Q TWO EIGHT THREE
an4/an4/train/an4/wav/an5-mblw-b.wav,REPEAT
an4/an4/train/an4/wav/an50-mmap-b.wav,P T K X ZERO
an4/an4/train/an4/wav/an51-mmaf-b.wav,V F O F H NINE FOUR
an4/an4/train/an4/wav/an52-mmaf-b.wav,ENTER SEVEN
an4/an4/train/an4/wav/an53-mmaf-b.wav,ERASE B M E E THREE FIVE TWO
an4/an4/train/an4/wav/an54-mmaf-b.wav,START
an4/an4/train/an4/wav/an56-mjhp-b.wav,ERASE X B M N T FOUR ONE OH NINE
an4/an4/train/an4/wav/an57-mjhp-b.wav,F K A U TWO FOUR
an4/an4/train/an4/wav/an58-mjhp-b.wav,ERASE E X X S ZERO
